trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.5, 'e': 0.7501110696304596}",25,8,-57.219324260362335,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.7475083268625968}",20,11,-33.6855861404593,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.744894056591622}",25,0,-9.909179652435581,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.7422682991328169}",20,0,-38.45423813957356,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.7396310949786097}",20,9,-97.14134580916968,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
189,False,"{'a': 0.5, 'e': 0.7369824847979507}",20,1,-22.955364163836546,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.7343225094356856}",20,0,-100.49206791163944,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
191,False,"{'a': 0.5, 'e': 0.7316512099119248}",25,17,-20.234327296831612,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.7289686274214116}",20,0,-23.101052966776226,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.7262748033328865}",20,9,-68.96149168295615,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
194,False,"{'a': 0.5, 'e': 0.7235697791884494}",20,0,-9.05142536642764,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.7208535967029188}",20,0,-188.81782841691697,"{0: 11, 1: 2, 2: 1, 3: 3, 4: 3}",0
196,False,"{'a': 0.5, 'e': 0.7181262977631888}",20,0,-159.50079612259916,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
197,False,"{'a': 0.5, 'e': 0.7153879244275829}",20,0,1.5996906986446868,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.7126385189252054}",30,0,-73.33016694530002,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.7098781236552903}",30,0,-121.45371754373089,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
200,False,"{'a': 0.5, 'e': 0.7071067811865476}",25,0,-77.71187187357822,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
201,False,"{'a': 0.5, 'e': 0.7043245342565063}",25,18,-12.301371636181308,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.7015314257708558}",25,0,-17.03973362153524,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.6987274988027843}",30,0,-71.47596083760317,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
204,False,"{'a': 0.5, 'e': 0.6959127965923144}",25,0,-72.40063547668046,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
205,False,"{'a': 0.5, 'e': 0.693087362545636}",20,0,-79.30615254540984,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.6902512402344372}",20,0,-34.39493538519621,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.6874044733952327}",25,0,-102.03323116495166,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.6845471059286887}",30,0,-45.54766715099862,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.6816791818989463}",20,4,-32.14419094357637,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.6788007455329418}",20,0,-55.0652518069205,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
211,False,"{'a': 0.5, 'e': 0.6759118412197248}",30,0,-131.4185384681678,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
212,False,"{'a': 0.5, 'e': 0.6730125135097733}",20,4,-67.87563911338995,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.6701028071143077}",25,9,-41.36583719000728,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.6671827669045998}",30,1,-94.09672761762177,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 1}",1
215,False,"{'a': 0.5, 'e': 0.6642524379112817}",25,0,-64.56148505417593,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.6613118653236519}",20,14,-10.049486735768333,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.6583610944889772}",35,13,-21.23626644547686,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.655400170911794}",20,9,4.7731200197315165,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.6524291402532068}",20,0,-85.0522564606688,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.6494480483301838}",30,0,-74.66909091138318,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
221,False,"{'a': 0.5, 'e': 0.64645694111485}",20,0,-17.450190716707823,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.6434558647337789}",25,0,-114.45031184956017,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
223,False,"{'a': 0.5, 'e': 0.6404448654672811}",30,8,-12.22443118106927,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.6374239897486897}",25,0,-44.124693293030035,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.6343932841636456}",25,0,-76.9561588678165,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
226,False,"{'a': 0.5, 'e': 0.6313527954493778}",25,0,-3.073995401854296,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.6283025704939836}",30,0,-88.54408748940246,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
228,False,"{'a': 0.5, 'e': 0.6252426563357053}",30,4,-34.39605451191368,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.6221731001622043}",30,0,-56.63058460752242,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
230,False,"{'a': 0.5, 'e': 0.619093949309834}",20,0,-93.16709322718609,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
231,False,"{'a': 0.5, 'e': 0.6160052512629098}",20,0,-12.488238391891048,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.6129070536529765}",25,19,1.1899897443704543,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.6097994042580738}",25,0,-147.20933267242964,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
234,False,"{'a': 0.5, 'e': 0.6066823510019997}",20,0,-37.949389469611646,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.6035559419535715}",25,1,-16.018263212445966,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.6004202253258841}",35,11,-107.2692232919995,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 3}",1
237,False,"{'a': 0.5, 'e': 0.5972752494755671}",20,2,-108.72975127389518,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 1}",1
238,False,"{'a': 0.5, 'e': 0.5941210629020387}",25,0,-91.24120781039889,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.5909577142467575}",30,13,-17.105566639205442,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.5877852522924732}",20,6,-49.11798419652154,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
241,False,"{'a': 0.5, 'e': 0.5846037259624737}",30,3,-27.45465178815606,"{0: 22, 1: 2, 2: 1, 3: 2, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.5814131843198306}",25,0,-20.020456238169665,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
243,False,"{'a': 0.5, 'e': 0.5782136765666431}",20,5,-0.5420303804183233,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.5750052520432786}",20,0,-142.52121821988675,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
245,False,"{'a': 0.5, 'e': 0.5717879602276124}",20,5,-54.51298422016016,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
246,False,"{'a': 0.5, 'e': 0.568561850734264}",25,0,-7.247546176150531,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.565326973313833}",30,4,-16.779560954729767,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.5620833778521307}",20,0,-17.7883741252529,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
249,False,"{'a': 0.5, 'e': 0.5588311143694118}",30,0,-59.92741062410129,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.5555702330196024}",25,0,-26.71276288361227,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.5523007840895265}",25,0,-78.13673812178457,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
252,False,"{'a': 0.5, 'e': 0.5490228179981318}",20,6,1.1487613461213708,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.5457363852957099}",25,3,-49.87050621248552,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.5424415366631188}",20,1,-86.72421483713543,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.5391383229110002}",25,20,9.525152061290633,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.5358267949789967}",20,0,-59.504722122467975,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.5325070039349652}",25,17,-7.407799757040127,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.5291790009741907}",25,0,-67.61944828357628,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.5258428374185955}",25,14,2.489539283631672,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.5224985647159489}",25,15,20.026581666158712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.5191462344390729}",35,3,-6.0948886202429335,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.5157858982850476}",20,13,-38.44922155806971,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.5, 'e': 0.512417608074413}",25,0,-42.807868462134216,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
264,False,"{'a': 0.5, 'e': 0.5090414157503713}",20,6,-64.21429001913944,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.5056573733779846}",20,10,-8.734556171147895,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.5022655331433725}",25,17,-5.647187726840334,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.4988659473529074}",20,0,-16.141202395263463,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
268,False,"{'a': 0.5, 'e': 0.4954586684324076}",20,0,-14.037455264191117,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.49204374892632907}",20,0,-72.21413379292788,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
270,False,"{'a': 0.5, 'e': 0.488621241496955}",20,11,-0.9689144854023866,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.4851911989235839}",25,7,6.370896965453746,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.4817536741017152}",25,12,2.0280800350300066,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.47830872004223435}",20,2,-35.086995578048075,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
274,False,"{'a': 0.5, 'e': 0.47485638987059453}",25,0,-38.257407321529264,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
275,False,"{'a': 0.5, 'e': 0.4713967368259976}",30,7,-3.4447712049805492,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.46792981426057334}",20,7,-24.437807995667587,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.4644556756385565}",30,12,-44.69317301981917,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
278,False,"{'a': 0.5, 'e': 0.46097437453546236}",25,11,-15.40809105481809,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.45748596463726043}",20,6,6.897095563380185,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.4539904997395468}",35,2,-51.648181025010274,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 1}",1
281,False,"{'a': 0.5, 'e': 0.4504880337467143}",25,7,-40.80221186885667,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
282,False,"{'a': 0.5, 'e': 0.4469786206711212}",20,0,-30.164033373844948,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
283,False,"{'a': 0.5, 'e': 0.4434623146322583}",25,0,-36.858008838899416,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.4399391698559151}",20,0,11.624804094538074,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
285,False,"{'a': 0.5, 'e': 0.436409240673342}",25,10,-12.399554554010177,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.4328725815204139}",20,10,-22.804891763266774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
287,False,"{'a': 0.5, 'e': 0.4293292469367899}",20,12,-5.740566985017207,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.42577929156507266}",20,13,3.348641187977982,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.42222277014996545}",20,16,4.409279865566364,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.41865973753742813}",20,0,-8.505029596563883,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.41509024867383126}",25,16,1.2569212394958384,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.4115143586051089}",20,3,21.494361407825203,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.40793212247590926}",30,12,-7.90332301030111,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.40434359552874494}",30,0,-50.77832957897584,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
295,False,"{'a': 0.5, 'e': 0.4007488331031409}",30,4,-97.36488209192676,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 2}",1
296,False,"{'a': 0.5, 'e': 0.39714789063478056}",25,0,4.795592736336921,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.3935408236546514}",25,14,9.04698132265075,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.38992768778818826}",30,20,-15.203515988987476,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.386308538754416}",25,15,19.807686071419838,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.38268343236508984}",20,0,-42.22556526071096,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
301,False,"{'a': 0.5, 'e': 0.37905242452383464}",20,3,6.070483698281328,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.37541557122528313}",20,11,1.4331474267691355,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.37177292855421223}",20,11,15.35055339094399,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.3681245526846781}",20,0,-29.081459156685824,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
305,False,"{'a': 0.5, 'e': 0.3644704998791496}",25,17,-4.510879854203494,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.36081082648764173}",25,0,5.156560445084146,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.3571455889468453}",25,11,12.073239335842477,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.35347484377925714}",30,13,29.97236413076525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.3497986475923088}",30,7,-38.200247307136515,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
310,False,"{'a': 0.5, 'e': 0.346117057077493}",25,0,-22.22439946699252,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.34243012900949}",25,5,6.020287752462215,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.3387379202452915}",35,12,-103.6930463890907,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
313,False,"{'a': 0.5, 'e': 0.335040487723324}",25,14,-48.22189286094185,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
314,False,"{'a': 0.5, 'e': 0.3313378884625711}",20,0,-24.777563003560147,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
315,False,"{'a': 0.5, 'e': 0.32763017956169344}",30,17,26.266602847209594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.32391741819814934}",25,10,3.9262303871436366,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.3201996616273118}",25,14,16.98086419602277,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.31647696718158613}",20,11,-1.9467025255015256,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.31274939226952586}",25,4,29.570075750026035,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.30901699437494745}",20,0,5.217089810043267,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.3052798310560436}",25,15,-27.032649881886023,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
322,False,"{'a': 0.5, 'e': 0.3015379599444958}",20,10,-70.68165981917741,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
323,False,"{'a': 0.5, 'e': 0.2977914387445854}",30,9,14.74741076184323,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.29404032523230406}",25,5,31.00068518057436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.2902846772544625}",20,9,-21.80011845485977,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.2865245527277985}",25,14,7.443726345743849,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.28276000963808345}",20,0,-31.251441389623725,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
328,False,"{'a': 0.5, 'e': 0.27899110603922944}",20,12,8.115229664103461,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.27521790005239155}",25,2,10.84441465096183,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.2714404498650745}",25,10,14.886845519792331,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.26765881373023237}",20,9,0.6591016320738927,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.26387304996537275}",25,8,11.771183197678948,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.2600832169516567}",20,10,6.608763146553107,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.25628937313299655}",25,18,-0.28650993333526253,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.2524915770151581}",25,5,-11.573954899690026,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
336,False,"{'a': 0.5, 'e': 0.24868988716485474}",35,22,2.23796569357832,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.2448843622088477}",25,9,29.763146438184947,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.24107506083303865}",20,8,6.210090390270814,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.23726204178156796}",30,10,30.907581871847047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.23344536385590545}",25,13,16.329388602794168,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.2296250859139471}",25,15,16.566193064055824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.2258012668691038}",30,18,18.23972814575136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.2219739656893959}",25,15,11.400507299788645,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.21814324139654268}",25,20,8.46176113359927,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.2143091530650507}",25,10,8.809688949820327,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.21047175982130584}",20,5,24.218007655360182,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.20663112084265817}",30,23,15.105271726284121,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.20278729535651271}",25,17,18.465479909331325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.1989403426394126}",30,15,5.372821192091163,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.19509032201612853}",20,8,22.717095778606645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.19123729285874036}",30,17,26.48309506497014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.1873813145857247}",25,15,-20.778311744747647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
353,False,"{'a': 0.5, 'e': 0.18352244666103648}",25,17,14.0261054243651,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.17966074859319248}",20,10,17.66989300488561,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.17579627993435468}",20,12,14.369216031495496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.1719291002794095}",25,13,9.620940941567259,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.16805926926505207}",30,9,36.461500856722594,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.16418684656886295}",30,13,4.612577508351753,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.16031189190839137}",25,14,-23.166282712525966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
360,False,"{'a': 0.5, 'e': 0.15643446504023092}",25,12,21.507858662255313,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.15255462575910111}",20,16,8.37518871990353,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.14867243389692308}",20,7,-19.086244486549546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
363,False,"{'a': 0.5, 'e': 0.1447879493218976}",20,12,8.722601479433512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.1409012319375828}",20,13,12.047998491015921,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.137012341681968}",30,11,-3.5433321469751813,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.13312133852655253}",20,8,10.538988828309732,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.12922828247541765}",20,4,20.00024457158244,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
