trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9864292571764954}",20,0,-119.94108641898461,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9857768926152087}",20,0,-114.83474137345118,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9851093261547739}",20,0,-145.74428449615704,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9844265680898916}",35,0,-149.08895061647493,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9837286289495359}",20,0,-171.56959808931228,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9830155194967916}",25,0,-213.066999705575,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.9822872507286887}",25,0,-107.33850059487138,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9815438338760325}",30,0,-151.7455474832371,"{0: 14, 1: 7, 2: 5, 3: 4, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9807852804032304}",20,0,-68.22945798646475,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9800116020081155}",35,0,-152.20396034529014,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9792228106217657}",30,12,-105.82150768861865,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.9784189184083201}",35,3,-187.17634526138116,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.9775999377647907}",25,6,-170.49955565202285,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 3}",1
55,False,"{'a': 0.5, 'e': 0.9767658813208724}",25,0,-62.27001647853216,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9759167619387474}",35,0,-160.99016662274772,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9750525927128869}",25,0,-144.30233823315848,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9741733869698493}",25,0,-100.69194547640757,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.973279158268075}",25,0,-219.32308405871632,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9723699203976766}",20,0,-127.8225039635081,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.971445687380227}",20,0,-88.40385858409839,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9705064734685425}",30,0,-70.88758385557722,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9695522931464635}",20,0,-111.29690101095063,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9685831611286311}",25,0,-202.6443657099188,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9675990923602598}",30,0,-271.0339988870579,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.9666001020169073}",25,0,-105.90831939511243,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.9655862055042406}",20,0,-168.14814197759245,"{0: 7, 1: 3, 2: 6, 3: 3, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9645574184577981}",30,10,-66.58306776214035,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9635137567427488}",20,0,-61.29477404376159,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9624552364536473}",30,23,9.537207391408332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.961381873914186}",20,0,-88.14632525629607,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9602936856769431}",20,0,-69.40027863962405,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9591906885231273}",25,3,-142.81191402721532,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.9580728994623191}",20,10,-18.093791911444438,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9569403357322088}",20,0,-113.04768221832927,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9557930147983301}",30,0,-154.74089273374202,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9546309543537911}",20,0,-149.81619301955436,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9534541723190012}",20,12,-77.43902843566612,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.9522626868413954}",20,0,-85.8722874779397,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9510565162951535}",25,0,-101.59266542126171,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9498356792809176}",20,0,-119.22985190668236,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9486001946255046}",30,0,-130.83743414928708,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9473500813816162}",25,0,-125.2042245047362,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9460853588275453}",20,0,-92.07007718564086,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.944806046466878}",20,0,-111.65599313983455,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9435121640281936}",20,0,-118.25950550701491,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9422037314647599}",20,7,-146.5232462421068,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 3}",1
88,False,"{'a': 0.5, 'e': 0.9408807689542255}",20,0,-54.37910459094454,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9395432968983091}",20,0,-203.96149514872278,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.9381913359224842}",20,0,-101.02190890818903,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9368249068756616}",25,10,-75.7147025066047,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.9354440308298674}",25,0,-82.77340582607015,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9340487290799185}",20,0,-67.42793619851624,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9326390231430941}",25,0,-136.67978389141982,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9312149347588036}",25,0,-109.75915889824499,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9297764858882515}",25,0,-221.99115114163388,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.9283236987140987}",30,0,-55.09603758390196,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9268565956401208}",25,0,-77.78683101874283,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9253751992908621}",25,0,-43.40931914858605,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9238795325112867}",20,0,-103.68167114042056,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9223696183664268}",20,0,-122.77693126310074,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9208454801410263}",25,3,-25.381124915128733,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.9193071413391819}",20,2,-76.22175592390626,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.9177546256839811}",20,3,-117.93972741859584,"{0: 6, 1: 5, 2: 4, 3: 1, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.9161879571171359}",25,0,-163.21979060711155,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9146071597986136}",20,5,-82.6231762266801,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
107,False,"{'a': 0.5, 'e': 0.9130122581062643}",20,0,-104.77819599784617,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.9114032766354453}",35,0,-186.0858115297845,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",1
109,False,"{'a': 0.5, 'e': 0.909780240198641}",25,0,-129.4224979846455,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9081431738250814}",20,0,-79.78202832412181,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9064921027603547}",25,0,-148.7915928053006,"{0: 12, 1: 8, 2: 2, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.9048270524660196}",30,0,-134.84511937895627,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.903148048619211}",30,1,-81.18379733488202,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.9014551171122457}",20,0,-61.96841890931017,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8997482840522215}",30,0,-155.90449861006795,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.8980275757606156}",30,0,-170.59137033747845,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.8962930187728787}",25,18,-0.12264802177164724,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.8945446398380251}",30,0,-67.43869121253287,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.892782465918221}",25,0,-205.25458007755876,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.8910065241883679}",20,0,-24.74977752964574,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.8892168420356844}",25,0,-181.3620267197036,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.8874134470592833}",25,0,-46.73573999673872,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8855963670697459}",30,3,-119.82369646049409,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 3}",1
124,False,"{'a': 0.5, 'e': 0.8837656300886935}",30,0,-108.85060531372844,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.881921264348355}",25,0,-114.3058618631872,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.880063298291132}",20,6,-36.4246208941998,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.8781917605691592}",20,0,-99.52027435078807,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.8763066800438636}",30,16,-49.717570408729976,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.8744080857855189}",25,0,-56.648061044014604,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.8724960070727972}",20,0,-89.20828403474536,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.8705704733923175}",20,9,-16.910390251333784,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.8686315144381912}",20,0,-79.44768837112134,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.8666791601115642}",20,0,-102.6139014444723,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.8647134405201551}",25,12,15.802895084221127,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.8627343859777918}",30,0,-165.17555738954067,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.8607420270039436}",30,0,-97.39207284761194,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.8587363943232506}",35,14,-78.74113647197045,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.8567175188650497}",30,0,-147.46586328543458,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.8546854317628979}",20,0,-136.71457239915742,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.8526401643540923}",20,0,-123.3982932009279,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.8505817481791862}",20,0,-83.06648095748777,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.8485102149815036}",20,0,-107.8815177317306,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.8464255967066491}",20,0,-153.3232991496291,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.8443279255020151}",30,0,-120.21153307682195,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.8422172337162865}",20,0,-48.70487126355205,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.8400935538989419}",25,8,-165.7814403167952,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 3}",1
147,False,"{'a': 0.5, 'e': 0.837956918799751}",25,0,-91.18920559860025,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.8358073613682702}",35,0,-124.02343865015854,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.8336449147533344}",20,5,-73.57194479525732,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.8314696123025452}",20,0,-88.03559804491552,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.8292814875617576}",30,0,-115.11588906565335,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.8270805742745618}",25,0,-137.12853384918782,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.8248669063817634}",25,9,-171.9665052068227,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 3}",1
154,False,"{'a': 0.5, 'e': 0.8226405180208598}",25,0,-34.82000270230613,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.8204014435255136}",20,0,-64.36309544082064,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.8181497174250234}",20,0,-95.76757286219963,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.8158853744437913}",20,0,-26.742231742133825,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.813608449500787}",20,7,-41.20408399622095,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.81131897770901}",30,21,-13.987766906906069,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.8090169943749475}",30,0,-50.04365066828897,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.80670253499803}",20,0,-121.69991869083813,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.8043756352700845}",20,0,-147.76850133479653,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.8020363310747832}",25,9,-11.39717352156706,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
